Use Case Scenario #07: CBRN dispersion in atmoshphere - Evacuation,,,,,,
"Factors
(Each Line Represents a different scenario)",,,,,,Decision
No.,"Area Covered 
Sq. Km. ",Est. People (impacted),"Wind Speed
(Bft)",Type of Hazard,Exposure Level,Evacuation?
123,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Medium,High,Yes
124,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,High,Low,Yes
125,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,High,Medium,Yes
126,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,High,High,Yes
127,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Low,Low,Yes
128,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Low,Medium,Yes
129,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Low,High,Yes
130,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Medium,Low,Yes
131,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Medium,Medium,Yes
132,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Medium,High,Yes
133,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,High,Low,Yes
134,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,High,Medium,Yes
135,Medium: 0.5-1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,High,High,Yes
136,Medium: 0.5-1 Sq. Km,High: >3000,Low: 0-5 Bft,Low,Low,Yes
137,Medium: 0.5-1 Sq. Km,High: >3000,Low: 0-5 Bft,Low,Medium,Yes
138,Medium: 0.5-1 Sq. Km,High: >3000,Low: 0-5 Bft,Low,High,Yes
139,Medium: 0.5-1 Sq. Km,High: >3000,Low: 0-5 Bft,Medium,Low,Yes
140,Medium: 0.5-1 Sq. Km,High: >3000,Low: 0-5 Bft,Medium,Medium,Yes
141,Medium: 0.5-1 Sq. Km,High: >3000,Low: 0-5 Bft,Medium,High,Yes
